a[7..0] | b[7..0]
~~~~~~~~~~~~~~~~~~~~~~~~
00000000   |  00000000  
00000001   |  00000010  
00000010   |  00001000  
00000011   |  00001010  
00000100   |  00000001  
00000101   |  00000011  
00000110   |  00001001  
00000111   |  00001011  
00001000   |  00010000  
00001001   |  00010010  
00001010   |  00011000  
00001011   |  00011010  
00001100   |  00010001  
00001101   |  00010011  
00001110   |  00011001  
00001111   |  00011011  
00010000   |  10000000  
00010001   |  10000010  
00010010   |  10001000  
00010011   |  10001010  
00010100   |  10000001  
00010101   |  10000011  
00010110   |  10001001  
00010111   |  10001011  
00011000   |  10010000  
00011001   |  10010010  
00011010   |  10011000  
00011011   |  10011010  
00011100   |  10010001  
00011101   |  10010011  
00011110   |  10011001  
00011111   |  10011011  
00100000   |  00100000  
00100001   |  00100010  
00100010   |  00101000  
00100011   |  00101010  
00100100   |  00100001  
00100101   |  00100011  
00100110   |  00101001  
00100111   |  00101011  
00101000   |  00110000  
00101001   |  00110010  
00101010   |  00111000  
00101011   |  00111010  
00101100   |  00110001  
00101101   |  00110011  
00101110   |  00111001  
00101111   |  00111011  
00110000   |  10100000  
00110001   |  10100010  
00110010   |  10101000  
00110011   |  10101010  
00110100   |  10100001  
00110101   |  10100011  
00110110   |  10101001  
00110111   |  10101011  
00111000   |  10110000  
00111001   |  10110010  
00111010   |  10111000  
00111011   |  10111010  
00111100   |  10110001  
00111101   |  10110011  
00111110   |  10111001  
00111111   |  10111011  
01000000   |  00000100  
01000001   |  00000110  
01000010   |  00001100  
01000011   |  00001110  
01000100   |  00000101  
01000101   |  00000111  
01000110   |  00001101  
01000111   |  00001111  
01001000   |  00010100  
01001001   |  00010110  
01001010   |  00011100  
01001011   |  00011110  
01001100   |  00010101  
01001101   |  00010111  
01001110   |  00011101  
01001111   |  00011111  
01010000   |  10000100  
01010001   |  10000110  
01010010   |  10001100  
01010011   |  10001110  
01010100   |  10000101  
01010101   |  10000111  
01010110   |  10001101  
01010111   |  10001111  
01011000   |  10010100  
01011001   |  10010110  
01011010   |  10011100  
01011011   |  10011110  
01011100   |  10010101  
01011101   |  10010111  
01011110   |  10011101  
01011111   |  10011111  
01100000   |  00100100  
01100001   |  00100110  
01100010   |  00101100  
01100011   |  00101110  
01100100   |  00100101  
01100101   |  00100111  
01100110   |  00101101  
01100111   |  00101111  
01101000   |  00110100  
01101001   |  00110110  
01101010   |  00111100  
01101011   |  00111110  
01101100   |  00110101  
01101101   |  00110111  
01101110   |  00111101  
01101111   |  00111111  
01110000   |  10100100  
01110001   |  10100110  
01110010   |  10101100  
01110011   |  10101110  
01110100   |  10100101  
01110101   |  10100111  
01110110   |  10101101  
01110111   |  10101111  
01111000   |  10110100  
01111001   |  10110110  
01111010   |  10111100  
01111011   |  10111110  
01111100   |  10110101  
01111101   |  10110111  
01111110   |  10111101  
01111111   |  10111111  
10000000   |  01000000  
10000001   |  01000010  
10000010   |  01001000  
10000011   |  01001010  
10000100   |  01000001  
10000101   |  01000011  
10000110   |  01001001  
10000111   |  01001011  
10001000   |  01010000  
10001001   |  01010010  
10001010   |  01011000  
10001011   |  01011010  
10001100   |  01010001  
10001101   |  01010011  
10001110   |  01011001  
10001111   |  01011011  
10010000   |  11000000  
10010001   |  11000010  
10010010   |  11001000  
10010011   |  11001010  
10010100   |  11000001  
10010101   |  11000011  
10010110   |  11001001  
10010111   |  11001011  
10011000   |  11010000  
10011001   |  11010010  
10011010   |  11011000  
10011011   |  11011010  
10011100   |  11010001  
10011101   |  11010011  
10011110   |  11011001  
10011111   |  11011011  
10100000   |  01100000  
10100001   |  01100010  
10100010   |  01101000  
10100011   |  01101010  
10100100   |  01100001  
10100101   |  01100011  
10100110   |  01101001  
10100111   |  01101011  
10101000   |  01110000  
10101001   |  01110010  
10101010   |  01111000  
10101011   |  01111010  
10101100   |  01110001  
10101101   |  01110011  
10101110   |  01111001  
10101111   |  01111011  
10110000   |  11100000  
10110001   |  11100010  
10110010   |  11101000  
10110011   |  11101010  
10110100   |  11100001  
10110101   |  11100011  
10110110   |  11101001  
10110111   |  11101011  
10111000   |  11110000  
10111001   |  11110010  
10111010   |  11111000  
10111011   |  11111010  
10111100   |  11110001  
10111101   |  11110011  
10111110   |  11111001  
10111111   |  11111011  
11000000   |  01000100  
11000001   |  01000110  
11000010   |  01001100  
11000011   |  01001110  
11000100   |  01000101  
11000101   |  01000111  
11000110   |  01001101  
11000111   |  01001111  
11001000   |  01010100  
11001001   |  01010110  
11001010   |  01011100  
11001011   |  01011110  
11001100   |  01010101  
11001101   |  01010111  
11001110   |  01011101  
11001111   |  01011111  
11010000   |  11000100  
11010001   |  11000110  
11010010   |  11001100  
11010011   |  11001110  
11010100   |  11000101  
11010101   |  11000111  
11010110   |  11001101  
11010111   |  11001111  
11011000   |  11010100  
11011001   |  11010110  
11011010   |  11011100  
11011011   |  11011110  
11011100   |  11010101  
11011101   |  11010111  
11011110   |  11011101  
11011111   |  11011111  
11100000   |  01100100  
11100001   |  01100110  
11100010   |  01101100  
11100011   |  01101110  
11100100   |  01100101  
11100101   |  01100111  
11100110   |  01101101  
11100111   |  01101111  
11101000   |  01110100  
11101001   |  01110110  
11101010   |  01111100  
11101011   |  01111110  
11101100   |  01110101  
11101101   |  01110111  
11101110   |  01111101  
11101111   |  01111111  
11110000   |  11100100  
11110001   |  11100110  
11110010   |  11101100  
11110011   |  11101110  
11110100   |  11100101  
11110101   |  11100111  
11110110   |  11101101  
11110111   |  11101111  
11111000   |  11110100  
11111001   |  11110110  
11111010   |  11111100  
11111011   |  11111110  
11111100   |  11110101  
11111101   |  11110111  
11111110   |  11111101  
11111111   |  11111111  
