key[9..0]  | key1[7..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0000000000   |  00000000  
0000000001   |  00000010  
0000000010   |  00100000  
0000000011   |  00100010  
0000000100   |  00001000  
0000000101   |  00001010  
0000000110   |  00101000  
0000000111   |  00101010  
0000001000   |  01000000  
0000001001   |  01000010  
0000001010   |  01100000  
0000001011   |  01100010  
0000001100   |  01001000  
0000001101   |  01001010  
0000001110   |  01101000  
0000001111   |  01101010  
0000010000   |  00000001  
0000010001   |  00000011  
0000010010   |  00100001  
0000010011   |  00100011  
0000010100   |  00001001  
0000010101   |  00001011  
0000010110   |  00101001  
0000010111   |  00101011  
0000011000   |  01000001  
0000011001   |  01000011  
0000011010   |  01100001  
0000011011   |  01100011  
0000011100   |  01001001  
0000011101   |  01001011  
0000011110   |  01101001  
0000011111   |  01101011  
0000100000   |  00000000  
0000100001   |  00000010  
0000100010   |  00100000  
0000100011   |  00100010  
0000100100   |  00001000  
0000100101   |  00001010  
0000100110   |  00101000  
0000100111   |  00101010  
0000101000   |  01000000  
0000101001   |  01000010  
0000101010   |  01100000  
0000101011   |  01100010  
0000101100   |  01001000  
0000101101   |  01001010  
0000101110   |  01101000  
0000101111   |  01101010  
0000110000   |  00000001  
0000110001   |  00000011  
0000110010   |  00100001  
0000110011   |  00100011  
0000110100   |  00001001  
0000110101   |  00001011  
0000110110   |  00101001  
0000110111   |  00101011  
0000111000   |  01000001  
0000111001   |  01000011  
0000111010   |  01100001  
0000111011   |  01100011  
0000111100   |  01001001  
0000111101   |  01001011  
0000111110   |  01101001  
0000111111   |  01101011  
0001000000   |  00010000  
0001000001   |  00010010  
0001000010   |  00110000  
0001000011   |  00110010  
0001000100   |  00011000  
0001000101   |  00011010  
0001000110   |  00111000  
0001000111   |  00111010  
0001001000   |  01010000  
0001001001   |  01010010  
0001001010   |  01110000  
0001001011   |  01110010  
0001001100   |  01011000  
0001001101   |  01011010  
0001001110   |  01111000  
0001001111   |  01111010  
0001010000   |  00010001  
0001010001   |  00010011  
0001010010   |  00110001  
0001010011   |  00110011  
0001010100   |  00011001  
0001010101   |  00011011  
0001010110   |  00111001  
0001010111   |  00111011  
0001011000   |  01010001  
0001011001   |  01010011  
0001011010   |  01110001  
0001011011   |  01110011  
0001011100   |  01011001  
0001011101   |  01011011  
0001011110   |  01111001  
0001011111   |  01111011  
0001100000   |  00010000  
0001100001   |  00010010  
0001100010   |  00110000  
0001100011   |  00110010  
0001100100   |  00011000  
0001100101   |  00011010  
0001100110   |  00111000  
0001100111   |  00111010  
0001101000   |  01010000  
0001101001   |  01010010  
0001101010   |  01110000  
0001101011   |  01110010  
0001101100   |  01011000  
0001101101   |  01011010  
0001101110   |  01111000  
0001101111   |  01111010  
0001110000   |  00010001  
0001110001   |  00010011  
0001110010   |  00110001  
0001110011   |  00110011  
0001110100   |  00011001  
0001110101   |  00011011  
0001110110   |  00111001  
0001110111   |  00111011  
0001111000   |  01010001  
0001111001   |  01010011  
0001111010   |  01110001  
0001111011   |  01110011  
0001111100   |  01011001  
0001111101   |  01011011  
0001111110   |  01111001  
0001111111   |  01111011  
0010000000   |  00000100  
0010000001   |  00000110  
0010000010   |  00100100  
0010000011   |  00100110  
0010000100   |  00001100  
0010000101   |  00001110  
0010000110   |  00101100  
0010000111   |  00101110  
0010001000   |  01000100  
0010001001   |  01000110  
0010001010   |  01100100  
0010001011   |  01100110  
0010001100   |  01001100  
0010001101   |  01001110  
0010001110   |  01101100  
0010001111   |  01101110  
0010010000   |  00000101  
0010010001   |  00000111  
0010010010   |  00100101  
0010010011   |  00100111  
0010010100   |  00001101  
0010010101   |  00001111  
0010010110   |  00101101  
0010010111   |  00101111  
0010011000   |  01000101  
0010011001   |  01000111  
0010011010   |  01100101  
0010011011   |  01100111  
0010011100   |  01001101  
0010011101   |  01001111  
0010011110   |  01101101  
0010011111   |  01101111  
0010100000   |  00000100  
0010100001   |  00000110  
0010100010   |  00100100  
0010100011   |  00100110  
0010100100   |  00001100  
0010100101   |  00001110  
0010100110   |  00101100  
0010100111   |  00101110  
0010101000   |  01000100  
0010101001   |  01000110  
0010101010   |  01100100  
0010101011   |  01100110  
0010101100   |  01001100  
0010101101   |  01001110  
0010101110   |  01101100  
0010101111   |  01101110  
0010110000   |  00000101  
0010110001   |  00000111  
0010110010   |  00100101  
0010110011   |  00100111  
0010110100   |  00001101  
0010110101   |  00001111  
0010110110   |  00101101  
0010110111   |  00101111  
0010111000   |  01000101  
0010111001   |  01000111  
0010111010   |  01100101  
0010111011   |  01100111  
0010111100   |  01001101  
0010111101   |  01001111  
0010111110   |  01101101  
0010111111   |  01101111  
0011000000   |  00010100  
0011000001   |  00010110  
0011000010   |  00110100  
0011000011   |  00110110  
0011000100   |  00011100  
0011000101   |  00011110  
0011000110   |  00111100  
0011000111   |  00111110  
0011001000   |  01010100  
0011001001   |  01010110  
0011001010   |  01110100  
0011001011   |  01110110  
0011001100   |  01011100  
0011001101   |  01011110  
0011001110   |  01111100  
0011001111   |  01111110  
0011010000   |  00010101  
0011010001   |  00010111  
0011010010   |  00110101  
0011010011   |  00110111  
0011010100   |  00011101  
0011010101   |  00011111  
0011010110   |  00111101  
0011010111   |  00111111  
0011011000   |  01010101  
0011011001   |  01010111  
0011011010   |  01110101  
0011011011   |  01110111  
0011011100   |  01011101  
0011011101   |  01011111  
0011011110   |  01111101  
0011011111   |  01111111  
0011100000   |  00010100  
0011100001   |  00010110  
0011100010   |  00110100  
0011100011   |  00110110  
0011100100   |  00011100  
0011100101   |  00011110  
0011100110   |  00111100  
0011100111   |  00111110  
0011101000   |  01010100  
0011101001   |  01010110  
0011101010   |  01110100  
0011101011   |  01110110  
0011101100   |  01011100  
0011101101   |  01011110  
0011101110   |  01111100  
0011101111   |  01111110  
0011110000   |  00010101  
0011110001   |  00010111  
0011110010   |  00110101  
0011110011   |  00110111  
0011110100   |  00011101  
0011110101   |  00011111  
0011110110   |  00111101  
0011110111   |  00111111  
0011111000   |  01010101  
0011111001   |  01010111  
0011111010   |  01110101  
0011111011   |  01110111  
0011111100   |  01011101  
0011111101   |  01011111  
0011111110   |  01111101  
0011111111   |  01111111  
0100000000   |  00000000  
0100000001   |  00000010  
0100000010   |  00100000  
0100000011   |  00100010  
0100000100   |  00001000  
0100000101   |  00001010  
0100000110   |  00101000  
0100000111   |  00101010  
0100001000   |  01000000  
0100001001   |  01000010  
0100001010   |  01100000  
0100001011   |  01100010  
0100001100   |  01001000  
0100001101   |  01001010  
0100001110   |  01101000  
0100001111   |  01101010  
0100010000   |  00000001  
0100010001   |  00000011  
0100010010   |  00100001  
0100010011   |  00100011  
0100010100   |  00001001  
0100010101   |  00001011  
0100010110   |  00101001  
0100010111   |  00101011  
0100011000   |  01000001  
0100011001   |  01000011  
0100011010   |  01100001  
0100011011   |  01100011  
0100011100   |  01001001  
0100011101   |  01001011  
0100011110   |  01101001  
0100011111   |  01101011  
0100100000   |  00000000  
0100100001   |  00000010  
0100100010   |  00100000  
0100100011   |  00100010  
0100100100   |  00001000  
0100100101   |  00001010  
0100100110   |  00101000  
0100100111   |  00101010  
0100101000   |  01000000  
0100101001   |  01000010  
0100101010   |  01100000  
0100101011   |  01100010  
0100101100   |  01001000  
0100101101   |  01001010  
0100101110   |  01101000  
0100101111   |  01101010  
0100110000   |  00000001  
0100110001   |  00000011  
0100110010   |  00100001  
0100110011   |  00100011  
0100110100   |  00001001  
0100110101   |  00001011  
0100110110   |  00101001  
0100110111   |  00101011  
0100111000   |  01000001  
0100111001   |  01000011  
0100111010   |  01100001  
0100111011   |  01100011  
0100111100   |  01001001  
0100111101   |  01001011  
0100111110   |  01101001  
0100111111   |  01101011  
0101000000   |  00010000  
0101000001   |  00010010  
0101000010   |  00110000  
0101000011   |  00110010  
0101000100   |  00011000  
0101000101   |  00011010  
0101000110   |  00111000  
0101000111   |  00111010  
0101001000   |  01010000  
0101001001   |  01010010  
0101001010   |  01110000  
0101001011   |  01110010  
0101001100   |  01011000  
0101001101   |  01011010  
0101001110   |  01111000  
0101001111   |  01111010  
0101010000   |  00010001  
0101010001   |  00010011  
0101010010   |  00110001  
0101010011   |  00110011  
0101010100   |  00011001  
0101010101   |  00011011  
0101010110   |  00111001  
0101010111   |  00111011  
0101011000   |  01010001  
0101011001   |  01010011  
0101011010   |  01110001  
0101011011   |  01110011  
0101011100   |  01011001  
0101011101   |  01011011  
0101011110   |  01111001  
0101011111   |  01111011  
0101100000   |  00010000  
0101100001   |  00010010  
0101100010   |  00110000  
0101100011   |  00110010  
0101100100   |  00011000  
0101100101   |  00011010  
0101100110   |  00111000  
0101100111   |  00111010  
0101101000   |  01010000  
0101101001   |  01010010  
0101101010   |  01110000  
0101101011   |  01110010  
0101101100   |  01011000  
0101101101   |  01011010  
0101101110   |  01111000  
0101101111   |  01111010  
0101110000   |  00010001  
0101110001   |  00010011  
0101110010   |  00110001  
0101110011   |  00110011  
0101110100   |  00011001  
0101110101   |  00011011  
0101110110   |  00111001  
0101110111   |  00111011  
0101111000   |  01010001  
0101111001   |  01010011  
0101111010   |  01110001  
0101111011   |  01110011  
0101111100   |  01011001  
0101111101   |  01011011  
0101111110   |  01111001  
0101111111   |  01111011  
0110000000   |  00000100  
0110000001   |  00000110  
0110000010   |  00100100  
0110000011   |  00100110  
0110000100   |  00001100  
0110000101   |  00001110  
0110000110   |  00101100  
0110000111   |  00101110  
0110001000   |  01000100  
0110001001   |  01000110  
0110001010   |  01100100  
0110001011   |  01100110  
0110001100   |  01001100  
0110001101   |  01001110  
0110001110   |  01101100  
0110001111   |  01101110  
0110010000   |  00000101  
0110010001   |  00000111  
0110010010   |  00100101  
0110010011   |  00100111  
0110010100   |  00001101  
0110010101   |  00001111  
0110010110   |  00101101  
0110010111   |  00101111  
0110011000   |  01000101  
0110011001   |  01000111  
0110011010   |  01100101  
0110011011   |  01100111  
0110011100   |  01001101  
0110011101   |  01001111  
0110011110   |  01101101  
0110011111   |  01101111  
0110100000   |  00000100  
0110100001   |  00000110  
0110100010   |  00100100  
0110100011   |  00100110  
0110100100   |  00001100  
0110100101   |  00001110  
0110100110   |  00101100  
0110100111   |  00101110  
0110101000   |  01000100  
0110101001   |  01000110  
0110101010   |  01100100  
0110101011   |  01100110  
0110101100   |  01001100  
0110101101   |  01001110  
0110101110   |  01101100  
0110101111   |  01101110  
0110110000   |  00000101  
0110110001   |  00000111  
0110110010   |  00100101  
0110110011   |  00100111  
0110110100   |  00001101  
0110110101   |  00001111  
0110110110   |  00101101  
0110110111   |  00101111  
0110111000   |  01000101  
0110111001   |  01000111  
0110111010   |  01100101  
0110111011   |  01100111  
0110111100   |  01001101  
0110111101   |  01001111  
0110111110   |  01101101  
0110111111   |  01101111  
0111000000   |  00010100  
0111000001   |  00010110  
0111000010   |  00110100  
0111000011   |  00110110  
0111000100   |  00011100  
0111000101   |  00011110  
0111000110   |  00111100  
0111000111   |  00111110  
0111001000   |  01010100  
0111001001   |  01010110  
0111001010   |  01110100  
0111001011   |  01110110  
0111001100   |  01011100  
0111001101   |  01011110  
0111001110   |  01111100  
0111001111   |  01111110  
0111010000   |  00010101  
0111010001   |  00010111  
0111010010   |  00110101  
0111010011   |  00110111  
0111010100   |  00011101  
0111010101   |  00011111  
0111010110   |  00111101  
0111010111   |  00111111  
0111011000   |  01010101  
0111011001   |  01010111  
