key1_in[9..0]  | key2[7..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0000000000   |  00000000  
0000000001   |  00001000  
0000000010   |  00000010  
0000000011   |  00001010  
0000000100   |  10000000  
0000000101   |  10001000  
0000000110   |  10000010  
0000000111   |  10001010  
0000001000   |  00000000  
0000001001   |  00001000  
0000001010   |  00000010  
0000001011   |  00001010  
0000001100   |  10000000  
0000001101   |  10001000  
0000001110   |  10000010  
0000001111   |  10001010  
0000010000   |  00100000  
0000010001   |  00101000  
0000010010   |  00100010  
0000010011   |  00101010  
0000010100   |  10100000  
0000010101   |  10101000  
0000010110   |  10100010  
0000010111   |  10101010  
0000011000   |  00100000  
0000011001   |  00101000  
0000011010   |  00100010  
0000011011   |  00101010  
0000011100   |  10100000  
0000011101   |  10101000  
0000011110   |  10100010  
0000011111   |  10101010  
0000100000   |  00010000  
0000100001   |  00011000  
0000100010   |  00010010  
0000100011   |  00011010  
0000100100   |  10010000  
0000100101   |  10011000  
0000100110   |  10010010  
0000100111   |  10011010  
0000101000   |  00010000  
0000101001   |  00011000  
0000101010   |  00010010  
0000101011   |  00011010  
0000101100   |  10010000  
0000101101   |  10011000  
0000101110   |  10010010  
0000101111   |  10011010  
0000110000   |  00110000  
0000110001   |  00111000  
0000110010   |  00110010  
0000110011   |  00111010  
0000110100   |  10110000  
0000110101   |  10111000  
0000110110   |  10110010  
0000110111   |  10111010  
0000111000   |  00110000  
0000111001   |  00111000  
0000111010   |  00110010  
0000111011   |  00111010  
0000111100   |  10110000  
0000111101   |  10111000  
0000111110   |  10110010  
0000111111   |  10111010  
0001000000   |  00000000  
0001000001   |  00001000  
0001000010   |  00000010  
0001000011   |  00001010  
0001000100   |  10000000  
0001000101   |  10001000  
0001000110   |  10000010  
0001000111   |  10001010  
0001001000   |  00000000  
0001001001   |  00001000  
0001001010   |  00000010  
0001001011   |  00001010  
0001001100   |  10000000  
0001001101   |  10001000  
0001001110   |  10000010  
0001001111   |  10001010  
0001010000   |  00100000  
0001010001   |  00101000  
0001010010   |  00100010  
0001010011   |  00101010  
0001010100   |  10100000  
0001010101   |  10101000  
0001010110   |  10100010  
0001010111   |  10101010  
0001011000   |  00100000  
0001011001   |  00101000  
0001011010   |  00100010  
0001011011   |  00101010  
0001011100   |  10100000  
0001011101   |  10101000  
0001011110   |  10100010  
0001011111   |  10101010  
0001100000   |  00010000  
0001100001   |  00011000  
0001100010   |  00010010  
0001100011   |  00011010  
0001100100   |  10010000  
0001100101   |  10011000  
0001100110   |  10010010  
0001100111   |  10011010  
0001101000   |  00010000  
0001101001   |  00011000  
0001101010   |  00010010  
0001101011   |  00011010  
0001101100   |  10010000  
0001101101   |  10011000  
0001101110   |  10010010  
0001101111   |  10011010  
0001110000   |  00110000  
0001110001   |  00111000  
0001110010   |  00110010  
0001110011   |  00111010  
0001110100   |  10110000  
0001110101   |  10111000  
0001110110   |  10110010  
0001110111   |  10111010  
0001111000   |  00110000  
0001111001   |  00111000  
0001111010   |  00110010  
0001111011   |  00111010  
0001111100   |  10110000  
0001111101   |  10111000  
0001111110   |  10110010  
0001111111   |  10111010  
0010000000   |  01000000  
0010000001   |  01001000  
0010000010   |  01000010  
0010000011   |  01001010  
0010000100   |  11000000  
0010000101   |  11001000  
0010000110   |  11000010  
0010000111   |  11001010  
0010001000   |  01000000  
0010001001   |  01001000  
0010001010   |  01000010  
0010001011   |  01001010  
0010001100   |  11000000  
0010001101   |  11001000  
0010001110   |  11000010  
0010001111   |  11001010  
0010010000   |  01100000  
0010010001   |  01101000  
0010010010   |  01100010  
0010010011   |  01101010  
0010010100   |  11100000  
0010010101   |  11101000  
0010010110   |  11100010  
0010010111   |  11101010  
0010011000   |  01100000  
0010011001   |  01101000  
0010011010   |  01100010  
0010011011   |  01101010  
0010011100   |  11100000  
0010011101   |  11101000  
0010011110   |  11100010  
0010011111   |  11101010  
0010100000   |  01010000  
0010100001   |  01011000  
0010100010   |  01010010  
0010100011   |  01011010  
0010100100   |  11010000  
0010100101   |  11011000  
0010100110   |  11010010  
0010100111   |  11011010  
0010101000   |  01010000  
0010101001   |  01011000  
0010101010   |  01010010  
0010101011   |  01011010  
0010101100   |  11010000  
0010101101   |  11011000  
0010101110   |  11010010  
0010101111   |  11011010  
0010110000   |  01110000  
0010110001   |  01111000  
0010110010   |  01110010  
0010110011   |  01111010  
0010110100   |  11110000  
0010110101   |  11111000  
0010110110   |  11110010  
0010110111   |  11111010  
0010111000   |  01110000  
0010111001   |  01111000  
0010111010   |  01110010  
0010111011   |  01111010  
0010111100   |  11110000  
0010111101   |  11111000  
0010111110   |  11110010  
0010111111   |  11111010  
0011000000   |  01000000  
0011000001   |  01001000  
0011000010   |  01000010  
0011000011   |  01001010  
0011000100   |  11000000  
0011000101   |  11001000  
0011000110   |  11000010  
0011000111   |  11001010  
0011001000   |  01000000  
0011001001   |  01001000  
0011001010   |  01000010  
0011001011   |  01001010  
0011001100   |  11000000  
0011001101   |  11001000  
0011001110   |  11000010  
0011001111   |  11001010  
0011010000   |  01100000  
0011010001   |  01101000  
0011010010   |  01100010  
0011010011   |  01101010  
0011010100   |  11100000  
0011010101   |  11101000  
0011010110   |  11100010  
0011010111   |  11101010  
0011011000   |  01100000  
0011011001   |  01101000  
0011011010   |  01100010  
0011011011   |  01101010  
0011011100   |  11100000  
0011011101   |  11101000  
0011011110   |  11100010  
0011011111   |  11101010  
0011100000   |  01010000  
0011100001   |  01011000  
0011100010   |  01010010  
0011100011   |  01011010  
0011100100   |  11010000  
0011100101   |  11011000  
0011100110   |  11010010  
0011100111   |  11011010  
0011101000   |  01010000  
0011101001   |  01011000  
0011101010   |  01010010  
0011101011   |  01011010  
0011101100   |  11010000  
0011101101   |  11011000  
0011101110   |  11010010  
0011101111   |  11011010  
0011110000   |  01110000  
0011110001   |  01111000  
0011110010   |  01110010  
0011110011   |  01111010  
0011110100   |  11110000  
0011110101   |  11111000  
0011110110   |  11110010  
0011110111   |  11111010  
0011111000   |  01110000  
0011111001   |  01111000  
0011111010   |  01110010  
0011111011   |  01111010  
0011111100   |  11110000  
0011111101   |  11111000  
0011111110   |  11110010  
0011111111   |  11111010  
0100000000   |  00000100  
0100000001   |  00001100  
0100000010   |  00000110  
0100000011   |  00001110  
0100000100   |  10000100  
0100000101   |  10001100  
0100000110   |  10000110  
0100000111   |  10001110  
0100001000   |  00000100  
0100001001   |  00001100  
0100001010   |  00000110  
0100001011   |  00001110  
0100001100   |  10000100  
0100001101   |  10001100  
0100001110   |  10000110  
0100001111   |  10001110  
0100010000   |  00100100  
0100010001   |  00101100  
0100010010   |  00100110  
0100010011   |  00101110  
0100010100   |  10100100  
0100010101   |  10101100  
0100010110   |  10100110  
0100010111   |  10101110  
0100011000   |  00100100  
0100011001   |  00101100  
0100011010   |  00100110  
0100011011   |  00101110  
0100011100   |  10100100  
0100011101   |  10101100  
0100011110   |  10100110  
0100011111   |  10101110  
0100100000   |  00010100  
0100100001   |  00011100  
0100100010   |  00010110  
0100100011   |  00011110  
0100100100   |  10010100  
0100100101   |  10011100  
0100100110   |  10010110  
0100100111   |  10011110  
0100101000   |  00010100  
0100101001   |  00011100  
0100101010   |  00010110  
0100101011   |  00011110  
0100101100   |  10010100  
0100101101   |  10011100  
0100101110   |  10010110  
0100101111   |  10011110  
0100110000   |  00110100  
0100110001   |  00111100  
0100110010   |  00110110  
0100110011   |  00111110  
0100110100   |  10110100  
0100110101   |  10111100  
0100110110   |  10110110  
0100110111   |  10111110  
0100111000   |  00110100  
0100111001   |  00111100  
0100111010   |  00110110  
0100111011   |  00111110  
0100111100   |  10110100  
0100111101   |  10111100  
0100111110   |  10110110  
0100111111   |  10111110  
0101000000   |  00000100  
0101000001   |  00001100  
0101000010   |  00000110  
0101000011   |  00001110  
0101000100   |  10000100  
0101000101   |  10001100  
0101000110   |  10000110  
0101000111   |  10001110  
0101001000   |  00000100  
0101001001   |  00001100  
0101001010   |  00000110  
0101001011   |  00001110  
0101001100   |  10000100  
0101001101   |  10001100  
0101001110   |  10000110  
0101001111   |  10001110  
0101010000   |  00100100  
0101010001   |  00101100  
0101010010   |  00100110  
0101010011   |  00101110  
0101010100   |  10100100  
0101010101   |  10101100  
0101010110   |  10100110  
0101010111   |  10101110  
0101011000   |  00100100  
0101011001   |  00101100  
0101011010   |  00100110  
0101011011   |  00101110  
0101011100   |  10100100  
0101011101   |  10101100  
0101011110   |  10100110  
0101011111   |  10101110  
0101100000   |  00010100  
0101100001   |  00011100  
0101100010   |  00010110  
0101100011   |  00011110  
0101100100   |  10010100  
0101100101   |  10011100  
0101100110   |  10010110  
0101100111   |  10011110  
0101101000   |  00010100  
0101101001   |  00011100  
0101101010   |  00010110  
0101101011   |  00011110  
0101101100   |  10010100  
0101101101   |  10011100  
0101101110   |  10010110  
0101101111   |  10011110  
0101110000   |  00110100  
0101110001   |  00111100  
0101110010   |  00110110  
0101110011   |  00111110  
0101110100   |  10110100  
0101110101   |  10111100  
0101110110   |  10110110  
0101110111   |  10111110  
0101111000   |  00110100  
0101111001   |  00111100  
0101111010   |  00110110  
0101111011   |  00111110  
0101111100   |  10110100  
0101111101   |  10111100  
0101111110   |  10110110  
0101111111   |  10111110  
0110000000   |  01000100  
0110000001   |  01001100  
0110000010   |  01000110  
0110000011   |  01001110  
0110000100   |  11000100  
0110000101   |  11001100  
0110000110   |  11000110  
0110000111   |  11001110  
0110001000   |  01000100  
0110001001   |  01001100  
0110001010   |  01000110  
0110001011   |  01001110  
0110001100   |  11000100  
0110001101   |  11001100  
0110001110   |  11000110  
0110001111   |  11001110  
0110010000   |  01100100  
0110010001   |  01101100  
0110010010   |  01100110  
0110010011   |  01101110  
0110010100   |  11100100  
0110010101   |  11101100  
0110010110   |  11100110  
0110010111   |  11101110  
0110011000   |  01100100  
0110011001   |  01101100  
0110011010   |  01100110  
0110011011   |  01101110  
0110011100   |  11100100  
0110011101   |  11101100  
0110011110   |  11100110  
0110011111   |  11101110  
0110100000   |  01010100  
0110100001   |  01011100  
0110100010   |  01010110  
0110100011   |  01011110  
0110100100   |  11010100  
0110100101   |  11011100  
0110100110   |  11010110  
0110100111   |  11011110  
0110101000   |  01010100  
0110101001   |  01011100  
0110101010   |  01010110  
0110101011   |  01011110  
0110101100   |  11010100  
0110101101   |  11011100  
0110101110   |  11010110  
0110101111   |  11011110  
0110110000   |  01110100  
0110110001   |  01111100  
0110110010   |  01110110  
0110110011   |  01111110  
0110110100   |  11110100  
0110110101   |  11111100  
0110110110   |  11110110  
0110110111   |  11111110  
0110111000   |  01110100  
0110111001   |  01111100  
0110111010   |  01110110  
0110111011   |  01111110  
0110111100   |  11110100  
0110111101   |  11111100  
0110111110   |  11110110  
0110111111   |  11111110  
0111000000   |  01000100  
0111000001   |  01001100  
0111000010   |  01000110  
0111000011   |  01001110  
0111000100   |  11000100  
0111000101   |  11001100  
0111000110   |  11000110  
0111000111   |  11001110  
0111001000   |  01000100  
0111001001   |  01001100  
0111001010   |  01000110  
0111001011   |  01001110  
0111001100   |  11000100  
0111001101   |  11001100  
0111001110   |  11000110  
0111001111   |  11001110  
0111010000   |  01100100  
0111010001   |  01101100  
0111010010   |  01100110  
0111010011   |  01101110  
0111010100   |  11100100  
0111010101   |  11101100  
0111010110   |  11100110  
0111010111   |  11101110  
0111011000   |  01100100  
0111011001   |  01101100  
